;;1024 tuiles;256 tuiles;64 tuiles;16 tuiles;4 tuiles;;;;;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,432846785;G and BW;1;;make_tuile_by_engine;14;0,549227238;G and BW;1;;make_tuile_by_engine;13;0,595680714;G and BW;1;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,448316097;G and BW;1;;make_tuile_by_engine;14;0,549702406;G and BW;1;;make_tuile_by_engine;13;1,28139019;G and BW;1;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,444261551;G and BW;1;;make_tuile_by_engine;14;0,594270706;G and BW;1;;make_tuile_by_engine;13;9,723299026;G and BW;1;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,446378231;G and BW;1;;make_tuile_by_engine;14;0,789117336;G and BW;1;;make_tuile_by_engine;13;161,0522029;G and BW;1;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,440774679;G and BW;1;;make_tuile_by_engine;14;0,598084211;G and BW;1;;make_tuile_by_engine;13;197,1638985;G and BW;1;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,446499825;G and BW;1;;make_tuile_by_engine;14;0,539024353;G and BW;1;;make_tuile_by_engine;13;299,1015446;G and BW;1;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,44594264;G and BW;1;;make_tuile_by_engine;14;0,468701124;G and BW;1;;make_tuile_by_engine;13;301,1845264;G and BW;1;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,457978725;G and BW;1;;make_tuile_by_engine;14;0,432032585;G and BW;1;;make_tuile_by_engine;13;214,440933;G and BW;1;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,432248116;G and BW;1;;make_tuile_by_engine;14;0,432902575;G and BW;1;;make_tuile_by_engine;13;0,636950731;G and BW;1;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,367220163;G and BW;1;;make_tuile_by_engine;14;0,374706268;G and BW;1;;make_tuile_by_engine;13;1,283341646;G and BW;1;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,36678648;G and BW;1;;make_tuile_by_engine;14;0,422041655;G and BW;1;;make_tuile_by_engine;13;9,772230148;G and BW;1;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,390093565;G and BW;1;;make_tuile_by_engine;14;0,488685846;G and BW;1;;make_tuile_by_engine;13;161,2473114;G and BW;1;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,379146814;G and BW;1;;make_tuile_by_engine;14;0,510478497;G and BW;1;;make_tuile_by_engine;13;197,1887898;G and BW;1;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,401201725;G and BW;1;;make_tuile_by_engine;14;0,512291431;G and BW;1;;make_tuile_by_engine;13;299,7421675;G and BW;1;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,43580246;G and BW;1;;make_tuile_by_engine;14;0,507708311;G and BW;1;;make_tuile_by_engine;13;296,5297639;G and BW;1;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,436868429;G and BW;1;;make_tuile_by_engine;14;0,538166285;G and BW;1;;make_tuile_by_engine;13;213,7271128;G and BW;1;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,434836864;G and BW;1;;make_tuile_by_engine;14;0,587041378;G and BW;1;;make_tuile_by_engine;13;0,626725674;G and BW;1;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,452309608;G and BW;1;;make_tuile_by_engine;14;0,618280411;G and BW;1;;make_tuile_by_engine;13;0,513059139;G and BW;1;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,433981657;G and BW;1;;make_tuile_by_engine;14;0,718228579;G and BW;1;;make_tuile_by_engine;13;0,590613127;G and BW;1;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,454425097;G and BW;1;;make_tuile_by_engine;14;5,635451317;G and BW;1;;make_tuile_by_engine;13;0,810875893;G and BW;1;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,484072924;G and BW;1;;make_tuile_by_engine;14;1,1913836;G and BW;1;;make_tuile_by_engine;13;10,19257212;G and BW;1;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,48212862;G and BW;1;;make_tuile_by_engine;14;0,625815392;G and BW;1;;make_tuile_by_engine;13;194,5647638;G and BW;1;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,511869431;G and BW;1;;make_tuile_by_engine;14;0,553741455;G and BW;1;;make_tuile_by_engine;13;265,677712;G and BW;1;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,510783672;G and BW;1;;make_tuile_by_engine;14;0,50078702;G and BW;1;;make_tuile_by_engine;13;118,5513535;G and BW;1;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,516225338;G and BW;1;;make_tuile_by_engine;14;0,440066814;G and BW;1;;make_tuile_by_engine;13;0,601385593;G and BW;1;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,512450933;G and BW;1;;make_tuile_by_engine;14;0,391305923;G and BW;1;;make_tuile_by_engine;13;0,427476406;G and BW;1;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,503168583;G and BW;1;;make_tuile_by_engine;14;0,492693901;G and BW;1;;make_tuile_by_engine;13;0,534965277;G and BW;1;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,512314558;G and BW;1;;make_tuile_by_engine;14;0,527448177;G and BW;1;;make_tuile_by_engine;13;0,518050194;G and BW;1;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,513476133;G and BW;1;;make_tuile_by_engine;14;0,509035587;G and BW;1;;make_tuile_by_engine;13;0,620236635;G and BW;1;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,502868176;G and BW;1;;make_tuile_by_engine;14;0,520999908;G and BW;1;;make_tuile_by_engine;13;0,813541651;G and BW;1;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,491565943;G and BW;1;;make_tuile_by_engine;14;0,561283827;G and BW;1;;make_tuile_by_engine;13;62,63219213;G and BW;1;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,474656105;G and BW;1;;make_tuile_by_engine;14;0,613386869;G and BW;1;;make_tuile_by_engine;13;0,702271223;G and BW;1;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,448419333;G and BW;1;;make_tuile_by_engine;14;0,624327898;G and BW;1;;make_tuile_by_engine;13;0,510764599;G and BW;1;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,434190512;G and BW;1;;make_tuile_by_engine;14;0,73520112;G and BW;1;;make_tuile_by_engine;13;0,371920347;G and BW;1;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,438801765;G and BW;1;;make_tuile_by_engine;14;1,096947193;G and BW;1;;make_tuile_by_engine;13;0,451546907;G and BW;1;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,434954166;G and BW;1;;make_tuile_by_engine;14;193,7964644;G and BW;1;;make_tuile_by_engine;13;0,495343208;G and BW;1;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,461780787;G and BW;1;;make_tuile_by_engine;14;49,61600971;G and BW;1;;make_tuile_by_engine;13;0,516222715;G and BW;1;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,424856186;G and BW;1;;make_tuile_by_engine;14;0,764112234;G and BW;1;;make_tuile_by_engine;13;0,561240435;G and BW;1;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,433817625;G and BW;1;;make_tuile_by_engine;14;0,640519142;G and BW;1;;make_tuile_by_engine;13;0,618555307;G and BW;1;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,427893639;G and BW;1;;make_tuile_by_engine;14;0,524050474;G and BW;1;;make_tuile_by_engine;13;0,491528749;G and BW;1;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,426815987;G and BW;1;;make_tuile_by_engine;14;0,490751505;G and BW;1;;make_tuile_by_engine;13;0,438263655;G and BW;1;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,368608236;G and BW;1;;make_tuile_by_engine;14;0,422320127;G and BW;1;;make_tuile_by_engine;13;3689,196551;G and BW;64;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,36359477;G and BW;1;;make_tuile_by_engine;14;0,512169361;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,368412971;G and BW;1;;make_tuile_by_engine;14;0,50767684;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,379957914;G and BW;1;;make_tuile_by_engine;14;0,512793779;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,42133069;G and BW;1;;make_tuile_by_engine;14;0,575336933;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,4374125;G and BW;1;;make_tuile_by_engine;14;0,631453753;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,435457945;G and BW;1;;make_tuile_by_engine;14;0,689302683;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,436634302;G and BW;1;;make_tuile_by_engine;14;0,931895494;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,465702534;G and BW;1;;make_tuile_by_engine;14;69,82012343;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,495383978;G and BW;1;;make_tuile_by_engine;14;155,3494751;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,511254787;G and BW;1;;make_tuile_by_engine;14;266,1262398;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,542797089;G and BW;1;;make_tuile_by_engine;14;198,2535443;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,554111481;G and BW;1;;make_tuile_by_engine;14;83,07764959;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,493313074;G and BW;1;;make_tuile_by_engine;14;26,80958247;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,518841028;G and BW;1;;make_tuile_by_engine;14;0,584382296;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,472157001;G and BW;1;;make_tuile_by_engine;14;0,502261877;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,454735756;G and BW;1;;make_tuile_by_engine;14;0,466573238;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,453111887;G and BW;1;;make_tuile_by_engine;14;0,528114319;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,552597284;G and BW;1;;make_tuile_by_engine;14;0,548635721;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,522991896;G and BW;1;;make_tuile_by_engine;14;0,657982588;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,49764514;G and BW;1;;make_tuile_by_engine;14;1,032933235;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,579510927;G and BW;1;;make_tuile_by_engine;14;0,889922857;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,580727339;G and BW;1;;make_tuile_by_engine;14;0,833171129;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,547150135;G and BW;1;;make_tuile_by_engine;14;37,86685586;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,497777462;G and BW;1;;make_tuile_by_engine;14;256,6660593;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,510600328;G and BW;1;;make_tuile_by_engine;14;297,3394608;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,452856302;G and BW;1;;make_tuile_by_engine;14;302,6500401;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,438936234;G and BW;1;;make_tuile_by_engine;14;303,2300055;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,466567039;G and BW;1;;make_tuile_by_engine;14;287,2627695;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,440222025;G and BW;1;;make_tuile_by_engine;14;76,53993154;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,474854946;G and BW;1;;make_tuile_by_engine;14;0,717383623;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,475802422;G and BW;1;;make_tuile_by_engine;14;0,498479843;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,369407177;G and BW;1;;make_tuile_by_engine;14;0,562273741;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,367125511;G and BW;1;;make_tuile_by_engine;14;0,600762129;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,395887852;G and BW;1;;make_tuile_by_engine;14;0,650115013;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,418275595;G and BW;1;;make_tuile_by_engine;14;0,765272617;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,44262886;G and BW;1;;make_tuile_by_engine;14;34,25385785;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,445473671;G and BW;1;;make_tuile_by_engine;14;130,1190717;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,462320328;G and BW;1;;make_tuile_by_engine;14;64,07189012;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,506630182;G and BW;1;;make_tuile_by_engine;14;176,3738196;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,522204638;G and BW;1;;make_tuile_by_engine;14;302,8972752;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,508119345;G and BW;1;;make_tuile_by_engine;14;303,1665113;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,52008152;G and BW;1;;make_tuile_by_engine;14;298,1258228;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,523571968;G and BW;1;;make_tuile_by_engine;14;298,0827732;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,529979944;G and BW;1;;make_tuile_by_engine;14;293,3906002;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,521246672;G and BW;1;;make_tuile_by_engine;14;179,8899412;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,524224997;G and BW;1;;make_tuile_by_engine;14;0,71567893;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,534702778;G and BW;1;;make_tuile_by_engine;14;0,530597925;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,577270508;G and BW;1;;make_tuile_by_engine;14;0,703454256;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,59697175;G and BW;1;;make_tuile_by_engine;14;3,151642323;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,607382059;G and BW;1;;make_tuile_by_engine;14;1,253797054;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,67342782;G and BW;1;;make_tuile_by_engine;14;35,97757387;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;1,090847015;G and BW;1;;make_tuile_by_engine;14;190,8877599;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,823251486;G and BW;1;;make_tuile_by_engine;14;292,4456131;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,678888559;G and BW;1;;make_tuile_by_engine;14;291,4402044;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,606842756;G and BW;1;;make_tuile_by_engine;14;261,0357547;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,591567755;G and BW;1;;make_tuile_by_engine;14;295,1357677;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,55975461;G and BW;1;;make_tuile_by_engine;14;298,6945798;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,531702042;G and BW;1;;make_tuile_by_engine;14;299,1802573;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,497072697;G and BW;1;;make_tuile_by_engine;14;291,4773796;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,43947053;G and BW;1;;make_tuile_by_engine;14;273,7801187;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,451427698;G and BW;1;;make_tuile_by_engine;14;106,6434586;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,441008091;G and BW;1;;make_tuile_by_engine;14;0,619097233;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,441027641;G and BW;1;;make_tuile_by_engine;14;0,512891531;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,372886896;G and BW;1;;make_tuile_by_engine;14;0,714261293;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,391514301;G and BW;1;;make_tuile_by_engine;14;3,101755381;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,405124903;G and BW;1;;make_tuile_by_engine;14;1,258020163;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,459203959;G and BW;1;;make_tuile_by_engine;14;35,84911132;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,451619387;G and BW;1;;make_tuile_by_engine;14;190,9407713;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,493388414;G and BW;1;;make_tuile_by_engine;14;287,7079418;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,528891325;G and BW;1;;make_tuile_by_engine;14;287,0779474;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,511968851;G and BW;1;;make_tuile_by_engine;14;258,2875891;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,537036419;G and BW;1;;make_tuile_by_engine;14;295,0747001;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,530426741;G and BW;1;;make_tuile_by_engine;14;298,1244509;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,535647154;G and BW;1;;make_tuile_by_engine;14;299,0958569;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,526346684;G and BW;1;;make_tuile_by_engine;14;292,1553755;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,548377037;G and BW;1;;make_tuile_by_engine;14;274,2980683;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,552952766;G and BW;1;;make_tuile_by_engine;14;106,5956891;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,568910837;G and BW;1;;make_tuile_by_engine;14;0,623628855;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,597497225;G and BW;1;;make_tuile_by_engine;14;0,512415886;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,618793011;G and BW;1;;make_tuile_by_engine;14;0,53749752;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,597079277;G and BW;1;;make_tuile_by_engine;14;0,598854303;G and BW;1;;;;;;;;;;;;;;;;;;;;;;;;
